mote_id,monitored_time,on_time,tx_time,rx_time,int_time
8,34.0,1.0,1.0,0.0,0.0
9,34.0,2.0,1.0,0.0,0.0
10,34.0,2.0,1.0,0.0,0.0
0,36.0,0.0,0.0,0.0,0.0
1,36.0,1.0,0.0,0.0,0.0
2,36.0,1.0,0.0,0.0,0.0
3,36.0,1.0,0.0,0.0,0.0
4,36.0,1.0,0.0,0.0,0.0
5,36.0,1.0,0.0,0.0,0.0
6,36.0,2.0,1.0,0.0,0.0
7,36.0,1.0,0.0,0.0,0.0
8,36.0,1.0,1.0,0.0,0.0
9,36.0,2.0,1.0,0.0,0.0
10,36.0,2.0,1.0,0.0,0.0
0,39.0,0.0,0.0,0.0,0.0
1,39.0,1.0,0.0,0.0,0.0
2,39.0,1.0,0.0,0.0,0.0
3,39.0,1.0,0.0,0.0,0.0
4,39.0,1.0,0.0,0.0,0.0
5,39.0,1.0,0.0,0.0,0.0
6,39.0,2.0,1.0,0.0,0.0
7,39.0,1.0,0.0,0.0,0.0
8,39.0,1.0,1.0,0.0,0.0
9,39.0,2.0,1.0,0.0,0.0
10,39.0,2.0,1.0,0.0,0.0
0,39.0,0.0,0.0,0.0,0.0
1,39.0,1.0,0.0,0.0,0.0
2,39.0,1.0,0.0,0.0,0.0
3,39.0,1.0,0.0,0.0,0.0
4,39.0,1.0,0.0,0.0,0.0
5,39.0,1.0,0.0,0.0,0.0
6,39.0,2.0,1.0,0.0,0.0
7,39.0,1.0,0.0,0.0,0.0
8,39.0,1.0,1.0,0.0,0.0
9,39.0,2.0,1.0,0.0,0.0
10,39.0,2.0,1.0,0.0,0.0
0,39.0,0.0,0.0,0.0,0.0
1,39.0,1.0,0.0,0.0,0.0
2,39.0,1.0,0.0,0.0,0.0
3,39.0,1.0,0.0,0.0,0.0
4,39.0,1.0,0.0,0.0,0.0
5,39.0,1.0,0.0,0.0,0.0
6,39.0,2.0,1.0,0.0,0.0
7,39.0,1.0,0.0,0.0,0.0
8,39.0,1.0,1.0,0.0,0.0
9,39.0,2.0,1.0,0.0,0.0
10,39.0,2.0,1.0,0.0,0.0
0,43.0,0.0,0.0,0.0,0.0
1,43.0,1.0,0.0,0.0,0.0
2,43.0,1.0,0.0,0.0,0.0
3,43.0,1.0,0.0,0.0,0.0
4,43.0,1.0,0.0,0.0,0.0
5,44.0,1.0,0.0,0.0,0.0
6,44.0,2.0,1.0,0.0,0.0
7,43.0,1.0,0.0,0.0,0.0
8,43.0,1.0,1.0,0.0,0.0
9,44.0,2.0,1.0,0.0,0.0
10,43.0,2.0,1.0,0.0,0.0
0,44.0,0.0,0.0,0.0,0.0
1,43.0,1.0,0.0,0.0,0.0
2,43.0,1.0,0.0,0.0,0.0
3,43.0,1.0,0.0,0.0,0.0
4,43.0,1.0,0.0,0.0,0.0
5,44.0,1.0,0.0,0.0,0.0
6,44.0,2.0,1.0,0.0,0.0
7,44.0,1.0,0.0,0.0,0.0
8,43.0,1.0,1.0,0.0,0.0
9,44.0,2.0,1.0,0.0,0.0
10,44.0,2.0,1.0,0.0,0.0
0,44.0,0.0,0.0,0.0,0.0
1,44.0,1.0,0.0,0.0,0.0
2,44.0,1.0,0.0,0.0,0.0
3,44.0,1.0,0.0,0.0,0.0
4,44.0,1.0,0.0,0.0,0.0
5,44.0,1.0,0.0,0.0,0.0
6,44.0,2.0,1.0,0.0,0.0
7,44.0,1.0,0.0,0.0,0.0
8,44.0,1.0,1.0,0.0,0.0
9,44.0,2.0,1.0,0.0,0.0
10,44.0,2.0,1.0,0.0,0.0
0,44.0,0.0,0.0,0.0,0.0
1,44.0,1.0,0.0,0.0,0.0
2,44.0,1.0,0.0,0.0,0.0
3,44.0,1.0,0.0,0.0,0.0
4,44.0,1.0,0.0,0.0,0.0
5,44.0,1.0,0.0,0.0,0.0
6,44.0,2.0,1.0,0.0,0.0
7,44.0,1.0,0.0,0.0,0.0
8,44.0,1.0,1.0,0.0,0.0
9,44.0,2.0,1.0,0.0,0.0
10,44.0,2.0,1.0,0.0,0.0
0,48.0,0.0,0.0,0.0,0.0
1,48.0,1.0,0.0,0.0,0.0
2,48.0,1.0,0.0,0.0,0.0
3,48.0,1.0,0.0,0.0,0.0
4,48.0,1.0,0.0,0.0,0.0
5,48.0,1.0,0.0,0.0,0.0
6,48.0,2.0,1.0,0.0,0.0
7,48.0,1.0,0.0,0.0,0.0
8,48.0,1.0,1.0,0.0,0.0
9,48.0,2.0,1.0,0.0,0.0
10,48.0,2.0,1.0,0.0,0.0
0,48.0,0.0,0.0,0.0,0.0
1,48.0,1.0,0.0,0.0,0.0
2,48.0,1.0,0.0,0.0,0.0
3,48.0,1.0,0.0,0.0,0.0
4,48.0,1.0,0.0,0.0,0.0
5,48.0,1.0,0.0,0.0,0.0
6,48.0,2.0,1.0,0.0,0.0
7,48.0,1.0,0.0,0.0,0.0
8,48.0,1.0,1.0,0.0,0.0
9,48.0,2.0,1.0,0.0,0.0
10,48.0,2.0,1.0,0.0,0.0
0,48.0,0.0,0.0,0.0,0.0
1,48.0,1.0,0.0,0.0,0.0
2,48.0,1.0,0.0,0.0,0.0
3,48.0,1.0,0.0,0.0,0.0
4,48.0,1.0,0.0,0.0,0.0
5,48.0,1.0,0.0,0.0,0.0
6,48.0,2.0,1.0,0.0,0.0
7,48.0,1.0,0.0,0.0,0.0
8,48.0,1.0,1.0,0.0,0.0
9,48.0,2.0,1.0,0.0,0.0
10,48.0,2.0,1.0,0.0,0.0
0,49.0,0.0,0.0,0.0,0.0
1,49.0,1.0,0.0,0.0,0.0
2,49.0,1.0,0.0,0.0,0.0
3,49.0,1.0,0.0,0.0,0.0
4,49.0,1.0,0.0,0.0,0.0
5,49.0,1.0,0.0,0.0,0.0
6,49.0,2.0,1.0,0.0,0.0
7,49.0,1.0,0.0,0.0,0.0
8,49.0,1.0,1.0,0.0,0.0
9,49.0,2.0,1.0,0.0,0.0
10,49.0,2.0,1.0,0.0,0.0
0,53.0,0.0,0.0,0.0,0.0
1,53.0,1.0,0.0,0.0,0.0
2,53.0,1.0,0.0,0.0,0.0
3,53.0,1.0,0.0,0.0,0.0
4,53.0,1.0,0.0,0.0,0.0
5,53.0,1.0,0.0,0.0,0.0
6,53.0,2.0,1.0,0.0,0.0
7,53.0,1.0,0.0,0.0,0.0
8,53.0,2.0,1.0,0.0,0.0
9,53.0,2.0,1.0,0.0,0.0
10,53.0,2.0,1.0,0.0,0.0
0,53.0,0.0,0.0,0.0,0.0
1,53.0,1.0,0.0,0.0,0.0
2,53.0,1.0,0.0,0.0,0.0
3,53.0,1.0,0.0,0.0,0.0
4,53.0,1.0,0.0,0.0,0.0
5,53.0,1.0,0.0,0.0,0.0
6,53.0,2.0,1.0,0.0,0.0
7,53.0,1.0,0.0,0.0,0.0
8,53.0,2.0,1.0,0.0,0.0
9,53.0,2.0,1.0,0.0,0.0
10,53.0,2.0,1.0,0.0,0.0
0,53.0,0.0,0.0,0.0,0.0
1,53.0,1.0,0.0,0.0,0.0
2,53.0,1.0,0.0,0.0,0.0
3,53.0,1.0,0.0,0.0,0.0
4,53.0,1.0,0.0,0.0,0.0
5,53.0,1.0,0.0,0.0,0.0
6,53.0,2.0,1.0,0.0,0.0
7,53.0,1.0,0.0,0.0,0.0
8,53.0,2.0,1.0,0.0,0.0
9,53.0,2.0,1.0,0.0,0.0
10,53.0,2.0,1.0,0.0,0.0
0,54.0,0.0,0.0,0.0,0.0
1,53.0,1.0,0.0,0.0,0.0
2,53.0,1.0,0.0,0.0,0.0
3,54.0,1.0,0.0,0.0,0.0
4,53.0,1.0,0.0,0.0,0.0
5,54.0,1.0,0.0,0.0,0.0
6,54.0,2.0,1.0,0.0,0.0
7,54.0,1.0,0.0,0.0,0.0
8,53.0,2.0,1.0,0.0,0.0
9,54.0,2.0,1.0,0.0,0.0
10,54.0,2.0,1.0,0.0,0.0
0,57.0,0.0,0.0,0.0,0.0
1,57.0,1.0,0.0,0.0,0.0
2,57.0,1.0,0.0,0.0,0.0
3,57.0,1.0,0.0,0.0,0.0
4,57.0,1.0,0.0,0.0,0.0
5,57.0,1.0,0.0,0.0,0.0
6,57.0,2.0,1.0,0.0,0.0
7,57.0,1.0,0.0,0.0,0.0
8,57.0,2.0,1.0,0.0,0.0
9,57.0,2.0,1.0,0.0,0.0
10,57.0,2.0,1.0,0.0,0.0
0,57.0,0.0,0.0,0.0,0.0
1,57.0,1.0,0.0,0.0,0.0
2,57.0,1.0,0.0,0.0,0.0
3,57.0,1.0,0.0,0.0,0.0
4,57.0,1.0,0.0,0.0,0.0
5,57.0,1.0,0.0,0.0,0.0
6,57.0,2.0,1.0,0.0,0.0
7,57.0,1.0,0.0,0.0,0.0
8,57.0,2.0,1.0,0.0,0.0
9,57.0,2.0,1.0,0.0,0.0
10,57.0,2.0,1.0,0.0,0.0
0,58.0,0.0,0.0,0.0,0.0
1,58.0,1.0,0.0,0.0,0.0
2,58.0,1.0,0.0,0.0,0.0
3,58.0,1.0,0.0,0.0,0.0
4,58.0,1.0,0.0,0.0,0.0
5,58.0,1.0,0.0,0.0,0.0
6,58.0,2.0,1.0,0.0,0.0
7,58.0,1.0,0.0,0.0,0.0
8,58.0,2.0,1.0,0.0,0.0
9,58.0,2.0,1.0,0.0,0.0
10,58.0,2.0,1.0,0.0,0.0
0,59.0,1.0,0.0,0.0,0.0
1,59.0,1.0,0.0,0.0,0.0
2,59.0,1.0,0.0,0.0,0.0
3,59.0,1.0,0.0,0.0,0.0
4,59.0,1.0,0.0,0.0,0.0
5,59.0,1.0,0.0,0.0,0.0
6,59.0,2.0,1.0,0.0,0.0
7,59.0,1.0,0.0,0.0,0.0
8,59.0,2.0,1.0,0.0,0.0
9,59.0,2.0,1.0,0.0,0.0
10,59.0,2.0,1.0,0.0,0.0
0,60.0,1.0,0.0,0.0,0.0
1,60.0,1.0,0.0,0.0,0.0
2,60.0,1.0,0.0,0.0,0.0
3,60.0,1.0,0.0,0.0,0.0
4,60.0,1.0,0.0,0.0,0.0
5,60.0,1.0,0.0,0.0,0.0
6,60.0,2.0,1.0,0.0,0.0
7,60.0,1.0,0.0,0.0,0.0
8,60.0,2.0,1.0,0.0,0.0
9,60.0,2.0,1.0,0.0,0.0
10,60.0,2.0,1.0,0.0,0.0
0,61.0,1.0,0.0,0.0,0.0
1,61.0,1.0,0.0,0.0,0.0
2,61.0,1.0,0.0,0.0,0.0
3,61.0,1.0,0.0,0.0,0.0
4,61.0,1.0,0.0,0.0,0.0
5,61.0,1.0,0.0,0.0,0.0
6,61.0,2.0,1.0,0.0,0.0
7,61.0,1.0,0.0,0.0,0.0
8,61.0,2.0,1.0,0.0,0.0
9,61.0,2.0,1.0,0.0,0.0
10,61.0,2.0,1.0,0.0,0.0
0,62.0,1.0,0.0,0.0,0.0
1,62.0,1.0,0.0,0.0,0.0
2,62.0,1.0,0.0,0.0,0.0
3,62.0,1.0,1.0,0.0,0.0
4,62.0,1.0,0.0,0.0,0.0
5,62.0,1.0,0.0,0.0,0.0
6,62.0,2.0,1.0,0.0,0.0
7,62.0,1.0,0.0,0.0,0.0
8,62.0,2.0,1.0,0.0,0.0
9,62.0,2.0,1.0,0.0,0.0
10,62.0,2.0,1.0,0.0,0.0
0,63.0,1.0,0.0,0.0,0.0
1,63.0,1.0,0.0,0.0,0.0
2,63.0,1.0,0.0,0.0,0.0
3,63.0,1.0,1.0,0.0,0.0
4,63.0,1.0,0.0,0.0,0.0
5,63.0,1.0,0.0,0.0,0.0
6,63.0,2.0,1.0,0.0,0.0
7,63.0,1.0,0.0,0.0,0.0
8,63.0,2.0,1.0,0.0,0.0
9,63.0,2.0,1.0,0.0,0.0
10,63.0,2.0,1.0,0.0,0.0
0,65.0,1.0,0.0,0.0,0.0
1,65.0,1.0,0.0,0.0,0.0
2,65.0,1.0,0.0,0.0,0.0
3,65.0,1.0,1.0,0.0,0.0
4,65.0,1.0,0.0,0.0,0.0
5,65.0,1.0,1.0,0.0,0.0
6,65.0,2.0,1.0,0.0,0.0
7,65.0,1.0,0.0,0.0,0.0
8,65.0,2.0,1.0,0.0,0.0
9,65.0,2.0,1.0,0.0,0.0
10,65.0,2.0,1.0,0.0,0.0
0,65.0,1.0,0.0,0.0,0.0
1,65.0,1.0,0.0,0.0,0.0
2,65.0,1.0,0.0,0.0,0.0
3,65.0,1.0,1.0,0.0,0.0
4,65.0,1.0,0.0,0.0,0.0
